,0,1,2,3,4,5,6,7,8,9,10,11
133,Tmem252,Ptprr,Iqgap2,Pde5a,Syt7,Anxa6,Nbl1,Gm15848,Ppan,Ahcyl2,Penk,Bin2
134,Myo15b,Hist1h1c,Lhfpl2,Frmd6,Baiap2l2,mt-Nd4l,Itga1,Jchain,Gnl3,Acox1,Syn2,Acap1
135,Eps8,Abat,Fos,Pdlim4,Gcg,Prnp,Rbpms,Mcf2l,Fbn1,Ccng2,Cd81,Bcl2a1b
136,Snx7,Apobec1,Prss30,Chst12,2410002F23Rik,Tnc,Actn1,Uhrf1,Jchain,Gsdmc4,Snhg11,Lst1
137,Sult1a1,Cyp2c55,Ivns1abp,Itga5,Hoxb8,Sh3bgr,Eno3,Galnt3,Csf1r,Slc40a1,Rgmb,Serpina3g
138,Tmem45b,Slc34a2,Stk17b,Ctxn3,Gm1965,Slc24a3,C4b,Rasa4,Hhip,Gpr137b,Csrp1,Vcam1
139,Nudt7,Anxa3,Neu1,Nkd1,Stt3a,Cavin2,Col4a2,Slc39a8,Pbk,Fxyd6,Chn1,Icosl
140,Slc30a10,Alpi,Klf6,Clps,Slc7a4,Dpt,Atp2b4,Pqlc1,Abat,Mustn1,Ldhb,Ms4a6b
141,Car8,Dmbt1,Scnn1g,Tln1,Ccna2,Epha7,Pbxip1,Ccnb1,Efemp1,Sncg,Anxa6,Map4k1
142,Mt2,Hao2,Fam102b,Eml1,Ewsr1,Hspg2,C1qa,Akap8,Tcf21,Vip,Mt3,Tnfrsf13c
143,Abcg2,Leng9,Mep1a,Ces1d,Gm43305,G0s2,Mcam,Mt3,Sorbs2,Ppy,Pdlim7,Btla
144,Hoxb9,Apob,Il15,Dact3,Gpx2,Myom1,Cd59a,Gnl3,Slc6a14,Lmo7,Cd59a,Pld4
145,Hsdl2,Efna1,Ugdh,Fermt2,Cd74,Tubb5,Spon2,Hao2,Cps1,Il18,Cplx1,Fcer2a
146,B4galnt1,Mgat4a,4930539E08Rik,Igfbp2,Nrep,Lum,Mrvi1,Snhg20,Slc50a1,Cyp4f14,Spock2,Nfkbie
147,Gucd1,Slc17a4,Gsdmc3,Adcy5,Ms4a7,Retnlb,Dpt,Kif23,Top2a,Pgm5,Sez6l2,Rasal3
148,Dmbt1,Tfrc,Dmbt1,Mxra8,Rgmb,Eml1,Aspn,Kif12,Ccnb2,Unc119,Sparc,Dock8
